MSA,YearMonth,UnemploymentRate,HPI (Seasonally Adjusted)
19820,199901,4.3,
19820,199902,4.3,
19820,199903,4.2,
19820,199904,4.0,
19820,199905,3.9,
19820,199906,3.7,
19820,199907,3.7,
19820,199908,3.6,
19820,199909,3.6,
19820,199910,3.6,
19820,199911,3.5,
19820,199912,3.4,
19820,200001,3.2,
19820,200002,3.2,
19820,200003,3.2,
19820,200004,3.2,
19820,200005,3.4,
19820,200006,3.5,
19820,200007,3.6,
19820,200008,3.6,
19820,200009,3.6,
19820,200010,3.6,
19820,200011,3.7,
19820,200012,3.9,
19820,200101,4.1,
19820,200102,4.3,
19820,200103,4.5,
19820,200104,4.6,
19820,200105,4.6,
19820,200106,4.7,
19820,200107,4.9,
19820,200108,5.1,
19820,200109,5.4,
19820,200110,5.7,
19820,200111,6.0,
19820,200112,6.1,
19820,200201,6.2,
19820,200202,6.2,
19820,200203,6.2,
19820,200204,6.3,
19820,200205,6.3,
19820,200206,6.3,
19820,200207,6.2,
19820,200208,6.1,
19820,200209,6.1,
19820,200210,6.1,
19820,200211,6.3,
19820,200212,6.5,
19820,200301,6.7,
19820,200302,6.9,
19820,200303,7.1,
19820,200304,7.3,
19820,200305,7.4,
19820,200306,7.5,
19820,200307,7.6,
19820,200308,7.5,
19820,200309,7.3,
19820,200310,7.1,
19820,200311,6.9,
19820,200312,6.7,
19820,200401,6.6,
19820,200402,6.6,
19820,200403,6.7,
19820,200404,6.8,
19820,200405,7.0,
19820,200406,7.1,
19820,200407,7.3,
19820,200408,7.4,
19820,200409,7.5,
19820,200410,7.6,
19820,200411,7.7,
19820,200412,7.7,
19820,200501,7.7,
19820,200502,7.6,
19820,200503,7.5,
19820,200504,7.4,
19820,200505,7.2,
19820,200506,6.9,
19820,200507,6.8,
19820,200508,6.6,
19820,200509,6.6,
19820,200510,6.6,
19820,200511,6.7,
19820,200512,6.8,
19820,200601,6.9,
19820,200602,6.9,
19820,200603,6.9,
19820,200604,6.9,
19820,200605,6.9,
19820,200606,6.9,
19820,200607,7.0,
19820,200608,7.1,
19820,200609,7.1,
19820,200610,7.2,
19820,200611,7.1,
19820,200612,7.1,
19820,200701,7.0,
19820,200702,7.0,
19820,200703,7.1,
19820,200704,7.1,
19820,200705,7.2,
19820,200706,7.3,
19820,200707,7.4,
19820,200708,7.5,
19820,200709,7.5,
19820,200710,7.6,
19820,200711,7.5,
19820,200712,7.5,
19820,200801,7.4,
19820,200802,7.4,
19820,200803,7.6,
19820,200804,7.7,
19820,200805,8.0,
19820,200806,8.2,
19820,200807,8.5,
19820,200808,8.8,
19820,200809,9.2,
19820,200810,9.6,
19820,200811,10.1,
19820,200812,10.5,
19820,200901,11.6,
19820,200902,12.5,
19820,200903,13.4,
19820,200904,14.2,
19820,200905,14.9,
19820,200906,15.6,
19820,200907,15.6,
19820,200908,15.6,
19820,200909,15.5,
19820,200910,15.4,
19820,200911,15.2,
19820,200912,15.3,
19820,201001,15.3,
19820,201002,15.2,
19820,201003,15.1,
19820,201004,14.8,
19820,201005,14.5,
19820,201006,14.3,
19820,201007,14.4,
19820,201008,13.9,
19820,201009,13.4,
19820,201010,13.0,
19820,201011,12.6,
19820,201012,12.2,
19820,201101,11.8,
19820,201102,11.7,
19820,201103,11.1,
19820,201104,11.2,
19820,201105,11.3,
19820,201106,11.3,
19820,201107,11.3,
19820,201108,11.1,
19820,201109,10.9,
19820,201110,10.6,
19820,201111,10.4,
19820,201112,10.2,
19820,201201,10.1,
19820,201202,10.0,
19820,201203,10.0,
19820,201204,10.0,
19820,201205,10.0,
19820,201206,10.0,
19820,201207,10.0,
19820,201208,10.0,
19820,201209,10.0,
19820,201210,10.0,
19820,201211,10.0,
19820,201212,10.0,
19820,201301,10.0,
19820,201302,9.9,
19820,201303,9.8,
19820,201304,9.8,
19820,201305,9.7,
19820,201306,9.7,
19820,201307,9.7,
19820,201308,9.7,
19820,201309,9.6,
19820,201310,9.5,
19820,201311,9.3,
19820,201312,9.2,
19820,201401,9.0,
19820,201402,8.9,
19820,201403,8.8,
19820,201404,8.7,
19820,201405,8.5,
19820,201406,8.3,
19820,201407,8.1,
19820,201408,7.9,
19820,201409,7.7,
19820,201410,7.4,
19820,201411,7.1,
19820,201412,6.8,
19820,201501,6.6,
19820,201502,6.4,
19820,201503,6.3,
19820,201504,6.2,
19820,201505,6.1,
19820,201506,6.0,
19820,201507,5.8,
19820,201508,5.7,
19820,201509,5.5,
19820,201510,5.4,
19820,201511,5.3,
19820,201512,5.3,
19820,201601,5.2,
19820,201602,5.3,
19820,201603,5.3,
19820,201604,5.3,
19820,201605,5.3,
19820,201606,5.3,
19820,201607,5.3,
19820,201608,5.3,
19820,201609,5.4,
19820,201610,5.4,
19820,201611,5.3,
19820,201612,5.3,
19820,201701,5.1,
19820,201702,4.8,
19820,201703,4.5,
19820,201704,4.3,
19820,201705,4.1,
19820,201706,4.1,
19820,201707,4.3,
19820,201708,4.4,
19820,201709,4.6,
19820,201710,4.7,
19820,201711,4.7,
19820,201712,4.7,
19820,201801,4.6,
19820,201802,4.5,
19820,201803,4.4,
19820,201804,4.3,
19820,201805,4.2,
19820,201806,4.1,
19820,201807,4.1,
19820,201808,4.2,
19820,201809,4.2,
19820,201810,4.3,
19820,201811,4.4,
19820,201812,4.4,
19820,201901,4.5,
19820,201902,4.4,
19820,201903,4.4,
19820,201904,4.4,
19820,201905,4.4,
19820,201906,4.3,
19820,201907,4.3,
19820,201908,4.2,
19820,201909,4.1,
19820,201910,4.0,
19820,201911,4.0,
19820,201912,3.9,
19820,202001,4.0,
19820,202002,4.0,
19820,202003,4.0,
19820,202004,23.4,
19820,202005,23.2,
19820,202006,17.7,
19820,202007,15.3,
19820,202008,12.0,
19820,202009,10.6,
19820,202010,9.0,
19820,202011,8.3,
19820,202012,8.1,
19820,202101,7.0,
19820,202102,6.7,
19820,202103,6.6,
19820,202104,6.6,
19820,202105,6.6,
19820,202106,6.6,
19820,202107,6.4,
19820,202108,6.1,
19820,202109,5.7,
19820,202110,5.3,
19820,202111,4.9,
19820,202112,4.7,
19820,202201,4.5,
19820,202202,4.4,
19820,202203,4.2,
19820,202204,4.0,
19820,202205,3.8,
19820,202206,3.6,
19820,202207,3.5,
19820,202208,3.5,
19820,202209,3.5,
19820,202210,3.6,
19820,202211,3.6,
19820,202212,3.6,
19820,202301,3.6,
19820,202302,3.4,
19820,202303,3.3,
19820,202304,3.3,
19820,202305,3.3,
19820,202306,3.4,
19820,202307,3.6,
19820,202308,3.7,
19820,202309,3.8,
19820,202310,3.9,
19820,202311,3.8,
19820,202312,3.8,
19820,202401,3.8,
19820,202402,3.8,
19820,202403,4.0,
19820,202404,4.1,
19820,202405,4.3,
19820,202406,4.5,
19820,202407,4.6,
19820,202408,4.8,
19820,202409,4.9,
19820,202410,5.0,
19820,202411,5.0,
19820,202412,5.0,
19820,202501,5.1,
19820,202502,5.2,
19820,202503,5.3,
17410,199901,2.5,
17410,199902,2.6,
17410,199903,2.7,
17410,199904,2.8,
17410,199905,3.0,
17410,199906,3.1,
17410,199907,3.2,
17410,199908,3.2,
17410,199909,3.2,
17410,199910,3.1,
17410,199911,3.0,
17410,199912,3.0,
17410,200001,2.9,
17410,200002,2.9,
17410,200003,2.9,
17410,200004,2.9,
17410,200005,2.9,
17410,200006,2.8,
17410,200007,2.8,
17410,200008,2.8,
17410,200009,2.8,
17410,200010,2.8,
17410,200011,2.8,
17410,200012,2.8,
17410,200101,2.9,
17410,200102,3.0,
17410,200103,3.1,
17410,200104,3.2,
17410,200105,3.3,
17410,200106,3.5,
17410,200107,3.6,
17410,200108,3.8,
17410,200109,4.0,
17410,200110,4.1,
17410,200111,4.3,
17410,200112,4.4,
17410,200201,4.6,
17410,200202,4.6,
17410,200203,4.7,
17410,200204,4.8,
17410,200205,4.8,
17410,200206,4.8,
17410,200207,4.8,
17410,200208,4.8,
17410,200209,4.9,
17410,200210,5.0,
17410,200211,5.1,
17410,200212,5.2,
17410,200301,5.3,
17410,200302,5.4,
17410,200303,5.5,
17410,200304,5.5,
17410,200305,5.6,
17410,200306,5.6,
17410,200307,5.5,
17410,200308,5.5,
17410,200309,5.4,
17410,200310,5.3,
17410,200311,5.3,
17410,200312,5.3,
17410,200401,5.3,
17410,200402,5.3,
17410,200403,5.3,
17410,200404,5.2,
17410,200405,5.2,
17410,200406,5.2,
17410,200407,5.2,
17410,200408,5.2,
17410,200409,5.2,
17410,200410,5.3,
17410,200411,5.3,
17410,200412,5.3,
17410,200501,5.3,
17410,200502,5.3,
17410,200503,5.2,
17410,200504,5.2,
17410,200505,5.1,
17410,200506,5.1,
17410,200507,5.0,
17410,200508,5.1,
17410,200509,5.1,
17410,200510,5.1,
17410,200511,5.0,
17410,200512,4.9,
17410,200601,4.8,
17410,200602,4.7,
17410,200603,4.7,
17410,200604,4.7,
17410,200605,4.8,
17410,200606,4.9,
17410,200607,5.0,
17410,200608,5.1,
17410,200609,5.2,
17410,200610,5.3,
17410,200611,5.3,
17410,200612,5.4,
17410,200701,5.4,
17410,200702,5.5,
17410,200703,5.5,
17410,200704,5.6,
17410,200705,5.6,
17410,200706,5.7,
17410,200707,5.8,
17410,200708,5.8,
17410,200709,5.8,
17410,200710,5.9,
17410,200711,5.9,
17410,200712,5.9,
17410,200801,5.8,
17410,200802,5.9,
17410,200803,5.9,
17410,200804,6.0,
17410,200805,6.1,
17410,200806,6.2,
17410,200807,6.3,
17410,200808,6.4,
17410,200809,6.4,
17410,200810,6.5,
17410,200811,6.6,
17410,200812,6.8,
17410,200901,7.1,
17410,200902,7.4,
17410,200903,7.6,
17410,200904,7.8,
17410,200905,7.9,
17410,200906,7.9,
17410,200907,7.9,
17410,200908,8.0,
17410,200909,8.0,
17410,200910,8.2,
17410,200911,8.3,
17410,200912,8.4,
17410,201001,8.5,
17410,201002,8.5,
17410,201003,8.4,
17410,201004,8.4,
17410,201005,8.3,
17410,201006,8.2,
17410,201007,8.1,
17410,201008,8.0,
17410,201009,8.0,
17410,201010,7.9,
17410,201011,7.9,
17410,201012,7.7,
17410,201101,7.6,
17410,201102,7.4,
17410,201103,7.4,
17410,201104,7.3,
17410,201105,7.3,
17410,201106,7.3,
17410,201107,7.4,
17410,201108,7.3,
17410,201109,7.3,
17410,201110,7.1,
17410,201111,7.0,
17410,201112,6.9,
17410,201201,6.8,
17410,201202,6.7,
17410,201203,6.6,
17410,201204,6.6,
17410,201205,6.6,
17410,201206,6.6,
17410,201207,6.5,
17410,201208,6.5,
17410,201209,6.5,
17410,201210,6.5,
17410,201211,6.5,
17410,201212,6.6,
17410,201301,6.6,
17410,201302,6.6,
17410,201303,6.7,
17410,201304,6.7,
17410,201305,6.7,
17410,201306,6.8,
17410,201307,6.8,
17410,201308,6.9,
17410,201309,6.9,
17410,201310,6.9,
17410,201311,6.8,
17410,201312,6.8,
17410,201401,6.7,
17410,201402,6.5,
17410,201403,6.4,
17410,201404,6.3,
17410,201405,6.2,
17410,201406,6.1,
17410,201407,6.0,
17410,201408,5.9,
17410,201409,5.8,
17410,201410,5.7,
17410,201411,5.6,
17410,201412,5.6,
17410,201501,5.5,
17410,201502,5.5,
17410,201503,5.4,
17410,201504,5.3,
17410,201505,5.2,
17410,201506,5.1,
17410,201507,5.0,
17410,201508,4.8,
17410,201509,4.8,
17410,201510,4.7,
17410,201511,4.7,
17410,201512,4.8,
17410,201601,4.9,
17410,201602,5.0,
17410,201603,5.1,
17410,201604,5.2,
17410,201605,5.2,
17410,201606,5.3,
17410,201607,5.4,
17410,201608,5.5,
17410,201609,5.6,
17410,201610,5.8,
17410,201611,5.9,
17410,201612,6.0,
17410,201701,6.0,
17410,201702,5.9,
17410,201703,5.8,
17410,201704,5.7,
17410,201705,5.6,
17410,201706,5.5,
17410,201707,5.5,
17410,201708,5.4,
17410,201709,5.4,
17410,201710,5.2,
17410,201711,5.1,
17410,201712,5.0,
17410,201801,4.9,
17410,201802,4.8,
17410,201803,4.8,
17410,201804,4.8,
17410,201805,4.7,
17410,201806,4.7,
17410,201807,4.6,
17410,201808,4.6,
17410,201809,4.6,
17410,201810,4.5,
17410,201811,4.5,
17410,201812,4.4,
17410,201901,4.3,
17410,201902,4.2,
17410,201903,4.1,
17410,201904,4.0,
17410,201905,3.9,
17410,201906,4.0,
17410,201907,4.0,
17410,201908,4.0,
17410,201909,4.1,
17410,201910,4.1,
17410,201911,4.1,
17410,201912,4.2,
17410,202001,4.3,
17410,202002,4.4,
17410,202003,4.7,
17410,202004,21.1,
17410,202005,15.9,
17410,202006,13.4,
17410,202007,11.9,
17410,202008,10.0,
17410,202009,9.0,
17410,202010,8.0,
17410,202011,7.4,
17410,202012,7.1,
17410,202101,6.8,
17410,202102,6.5,
17410,202103,6.4,
17410,202104,6.2,
17410,202105,6.1,
17410,202106,6.0,
17410,202107,5.8,
17410,202108,5.6,
17410,202109,5.3,
17410,202110,5.1,
17410,202111,5.0,
17410,202112,4.9,
17410,202201,4.9,
17410,202202,4.9,
17410,202203,4.8,
17410,202204,4.8,
17410,202205,4.7,
17410,202206,4.6,
17410,202207,4.5,
17410,202208,4.5,
17410,202209,4.4,
17410,202210,4.3,
17410,202211,4.2,
17410,202212,4.1,
17410,202301,3.9,
17410,202302,3.8,
17410,202303,3.6,
17410,202304,3.6,
17410,202305,3.5,
17410,202306,3.6,
17410,202307,3.6,
17410,202308,3.7,
17410,202309,3.7,
17410,202310,3.7,
17410,202311,3.8,
17410,202312,3.8,
17410,202401,3.7,
17410,202402,3.7,
17410,202403,3.8,
17410,202404,3.8,
17410,202405,3.8,
17410,202406,3.8,
17410,202407,3.8,
17410,202408,3.8,
17410,202409,3.8,
17410,202410,3.8,
17410,202411,3.9,
17410,202412,3.9,
17410,202501,4.0,
17410,202502,4.0,
17410,202503,4.0,
42660,199901,3.3,
42660,199902,3.2,
42660,199903,3.2,
42660,199904,3.2,
42660,199905,3.3,
42660,199906,3.4,
42660,199907,3.5,
42660,199908,3.7,
42660,199909,3.8,
42660,199910,4.0,
42660,199911,4.1,
42660,199912,4.1,
42660,200001,4.1,
42660,200002,4.1,
42660,200003,4.1,
42660,200004,4.1,
42660,200005,4.1,
42660,200006,4.2,
42660,200007,4.2,
42660,200008,4.2,
42660,200009,4.2,
42660,200010,4.2,
42660,200011,4.2,
42660,200012,4.2,
42660,200101,4.3,
42660,200102,4.5,
42660,200103,4.6,
42660,200104,4.7,
42660,200105,4.8,
42660,200106,4.9,
42660,200107,5.0,
42660,200108,5.2,
42660,200109,5.4,
42660,200110,5.7,
42660,200111,5.9,
42660,200112,6.2,
42660,200201,6.4,
42660,200202,6.5,
42660,200203,6.5,
42660,200204,6.5,
42660,200205,6.5,
42660,200206,6.5,
42660,200207,6.5,
42660,200208,6.5,
42660,200209,6.5,
42660,200210,6.6,
42660,200211,6.7,
42660,200212,6.7,
42660,200301,6.8,
42660,200302,6.8,
42660,200303,6.8,
42660,200304,6.7,
42660,200305,6.7,
42660,200306,6.6,
42660,200307,6.5,
42660,200308,6.4,
42660,200309,6.2,
42660,200310,6.1,
42660,200311,5.9,
42660,200312,5.8,
42660,200401,5.7,
42660,200402,5.7,
42660,200403,5.7,
42660,200404,5.6,
42660,200405,5.6,
42660,200406,5.5,
42660,200407,5.4,
42660,200408,5.3,
42660,200409,5.2,
42660,200410,5.2,
42660,200411,5.2,
42660,200412,5.2,
42660,200501,5.1,
42660,200502,5.1,
42660,200503,5.0,
42660,200504,4.9,
42660,200505,4.8,
42660,200506,4.7,
42660,200507,4.6,
42660,200508,4.6,
42660,200509,4.5,
42660,200510,4.3,
42660,200511,4.2,
42660,200512,4.0,
42660,200601,3.9,
42660,200602,3.8,
42660,200603,3.8,
42660,200604,3.9,
42660,200605,3.9,
42660,200606,4.0,
42660,200607,4.1,
42660,200608,4.1,
42660,200609,4.1,
42660,200610,4.1,
42660,200611,4.0,
42660,200612,3.9,
42660,200701,3.8,
42660,200702,3.6,
42660,200703,3.5,
42660,200704,3.4,
42660,200705,3.3,
42660,200706,3.3,
42660,200707,3.4,
42660,200708,3.4,
42660,200709,3.4,
42660,200710,3.4,
42660,200711,3.4,
42660,200712,3.3,
42660,200801,3.3,
42660,200802,3.4,
42660,200803,3.4,
42660,200804,3.6,
42660,200805,3.8,
42660,200806,3.9,
42660,200807,4.1,
42660,200808,4.3,
42660,200809,4.5,
42660,200810,4.8,
42660,200811,5.1,
42660,200812,5.6,
42660,200901,6.0,
42660,200902,6.5,
42660,200903,6.8,
42660,200904,7.5,
42660,200905,8.2,
42660,200906,8.8,
42660,200907,9.3,
42660,200908,9.7,
42660,200909,10.3,
42660,200910,10.3,
42660,200911,10.3,
42660,200912,10.5,
42660,201001,10.6,
42660,201002,10.5,
42660,201003,10.5,
42660,201004,10.4,
42660,201005,10.1,
42660,201006,10.2,
42660,201007,10.1,
42660,201008,10.1,
42660,201009,10.2,
42660,201010,10.2,
42660,201011,10.3,
42660,201012,10.1,
42660,201101,10.0,
42660,201102,9.7,
42660,201103,9.6,
42660,201104,9.4,
42660,201105,9.3,
42660,201106,9.2,
42660,201107,9.1,
42660,201108,8.9,
42660,201109,8.8,
42660,201110,8.6,
42660,201111,8.5,
42660,201112,8.3,
42660,201201,8.2,
42660,201202,8.2,
42660,201203,8.2,
42660,201204,8.2,
42660,201205,8.2,
42660,201206,8.4,
42660,201207,7.9,
42660,201208,7.4,
42660,201209,7.0,
42660,201210,6.7,
42660,201211,6.2,
42660,201212,5.9,
42660,201301,5.7,
42660,201302,5.1,
42660,201303,5.1,
42660,201304,5.2,
42660,201305,5.3,
42660,201306,5.4,
42660,201307,5.5,
42660,201308,5.5,
42660,201309,5.6,
42660,201310,5.5,
42660,201311,5.5,
42660,201312,5.5,
42660,201401,5.4,
42660,201402,5.4,
42660,201403,5.3,
42660,201404,5.3,
42660,201405,5.3,
42660,201406,5.2,
42660,201407,5.1,
42660,201408,5.0,
42660,201409,4.8,
42660,201410,4.7,
42660,201411,4.6,
42660,201412,4.5,
42660,201501,4.5,
42660,201502,4.4,
42660,201503,4.4,
42660,201504,4.4,
42660,201505,4.3,
42660,201506,4.3,
42660,201507,4.3,
42660,201508,4.4,
42660,201509,4.5,
42660,201510,4.6,
42660,201511,4.6,
42660,201512,4.6,
42660,201601,4.6,
42660,201602,4.5,
42660,201603,4.4,
42660,201604,4.3,
42660,201605,4.3,
42660,201606,4.2,
42660,201607,4.1,
42660,201608,4.1,
42660,201609,4.0,
42660,201610,4.0,
42660,201611,4.0,
42660,201612,3.9,
42660,201701,3.9,
42660,201702,3.9,
42660,201703,3.9,
42660,201704,4.0,
42660,201705,4.0,
42660,201706,4.0,
42660,201707,4.0,
42660,201708,4.0,
42660,201709,3.9,
42660,201710,3.9,
42660,201711,3.8,
42660,201712,3.8,
42660,201801,3.7,
42660,201802,3.7,
42660,201803,3.6,
42660,201804,3.5,
42660,201805,3.4,
42660,201806,3.4,
42660,201807,3.4,
42660,201808,3.4,
42660,201809,3.5,
42660,201810,3.5,
42660,201811,3.6,
42660,201812,3.6,
42660,201901,3.6,
42660,201902,3.5,
42660,201903,3.4,
42660,201904,3.2,
42660,201905,3.0,
42660,201906,2.9,
42660,201907,2.8,
42660,201908,2.8,
42660,201909,2.8,
42660,201910,2.7,
42660,201911,2.7,
42660,201912,2.6,
42660,202001,2.7,
42660,202002,2.8,
42660,202003,6.7,
42660,202004,18.2,
42660,202005,14.4,
42660,202006,12.5,
42660,202007,10.9,
42660,202008,9.1,
42660,202009,8.3,
42660,202010,7.4,
42660,202011,6.9,
42660,202012,6.6,
42660,202101,6.4,
42660,202102,6.0,
42660,202103,5.7,
42660,202104,5.5,
42660,202105,5.3,
42660,202106,5.2,
42660,202107,4.9,
42660,202108,4.7,
42660,202109,4.4,
42660,202110,4.1,
42660,202111,3.9,
42660,202112,3.7,
42660,202201,3.6,
42660,202202,3.6,
42660,202203,3.6,
42660,202204,3.6,
42660,202205,3.6,
42660,202206,3.6,
42660,202207,3.7,
42660,202208,3.8,
42660,202209,3.9,
42660,202210,4.0,
42660,202211,4.0,
42660,202212,3.9,
42660,202301,3.9,
42660,202302,3.9,
42660,202303,3.9,
42660,202304,3.9,
42660,202305,3.9,
42660,202306,3.9,
42660,202307,4.0,
42660,202308,4.0,
42660,202309,4.1,
42660,202310,4.2,
42660,202311,4.3,
42660,202312,4.4,
42660,202401,4.4,
42660,202402,4.4,
42660,202403,4.3,
42660,202404,4.3,
42660,202405,4.3,
42660,202406,4.2,
42660,202407,4.1,
42660,202408,4.1,
42660,202409,4.1,
42660,202410,4.0,
42660,202411,4.0,
42660,202412,4.1,
42660,202501,4.0,
42660,202502,4.1,
42660,202503,4.2,
11500,199901,5.3,
11500,199902,5.5,
11500,199903,4.9,
11500,199904,4.6,
11500,199905,4.6,
11500,199906,5.2,
11500,199907,4.8,
