Property State,YearMonth,UnemploymentRate,HPI (Seasonally Adjusted)
AL,199901,4.9,135.16
AL,199902,5.1,135.16
AL,199903,4.5,135.16
AL,199904,4.4,136.02
AL,199905,4.3,136.02
AL,199906,5.1,136.02
AL,199907,5.0,137.29
AL,199908,5.0,137.29
AL,199909,4.8,137.29
AL,199910,4.6,137.96
AL,199911,4.5,137.96
AL,199912,4.4,137.96
AL,200001,5.1,139.42
AL,200002,5.1,139.42
AL,200003,4.7,139.42
AL,200004,4.1,140.76
AL,200005,4.3,140.76
AL,200006,4.9,140.76
AL,200007,4.9,141.46
AL,200008,5.0,141.46
AL,200009,4.5,141.46
AL,200010,4.5,142.05
AL,200011,4.4,142.05
AL,200012,4.3,142.05
AL,200101,5.2,142.52
AL,200102,5.0,142.52
AL,200103,4.8,142.52
AL,200104,4.5,143.92
AL,200105,4.3,143.92
AL,200106,5.3,143.92
AL,200107,5.1,145.04
AL,200108,5.6,145.04
AL,200109,5.3,145.04
AL,200110,5.5,146.0
AL,200111,5.6,146.0
AL,200112,5.6,146.0
AL,200201,6.3,147.09
AL,200202,6.2,147.09
AL,200203,5.9,147.09
AL,200204,5.4,148.14
AL,200205,5.3,148.14
AL,200206,6.3,148.14
AL,200207,6.2,149.35
AL,200208,6.2,149.35
AL,200209,5.7,149.35
AL,200210,5.7,150.18
AL,200211,5.8,150.18
AL,200212,5.7,150.18
AL,200301,6.3,152.96
AL,200302,6.2,152.96
AL,200303,5.8,152.96
AL,200304,5.4,153.98
AL,200305,5.5,153.98
AL,200306,6.6,153.98
AL,200307,6.1,155.31
AL,200308,6.2,155.31
AL,200309,5.9,155.31
AL,200310,5.8,158.17
AL,200311,5.9,158.17
AL,200312,5.6,158.17
AL,200401,6.4,158.75
AL,200402,6.1,158.75
AL,200403,5.9,158.75
AL,200404,5.3,160.05
AL,200405,5.3,160.05
AL,200406,6.0,160.05
AL,200407,5.8,162.65
AL,200408,5.7,162.65
AL,200409,5.3,162.65
AL,200410,5.2,165.94
AL,200411,5.1,165.94
AL,200412,4.9,165.94
AL,200501,5.4,168.26
AL,200502,5.4,168.26
AL,200503,4.6,168.26
AL,200504,4.1,171.3
AL,200505,4.0,171.3
AL,200506,4.8,171.3
AL,200507,4.5,173.99
AL,200508,4.3,173.99
AL,200509,4.2,173.99
AL,200510,4.1,177.65
AL,200511,4.0,177.65
AL,200512,3.9,177.65
AL,200601,4.6,182.62
AL,200602,4.5,182.62
AL,200603,4.1,182.62
AL,200604,3.7,187.1
AL,200605,3.6,187.1
AL,200606,4.4,187.1
AL,200607,4.4,190.49
AL,200608,4.2,190.49
