MSA_FIPS_Code,YearMonth,UnemploymentRate
19820,199001,7.7
19820,199002,7.7
19820,199003,7.7
19820,199004,7.7
19820,199005,7.7
19820,199006,7.8
19820,199007,7.9
19820,199008,8.0
19820,199009,8.2
19820,199010,8.4
19820,199011,8.6
19820,199012,8.9
19820,199101,9.2
19820,199102,9.5
19820,199103,9.7
19820,199104,9.8
19820,199105,9.8
19820,199106,9.7
19820,199107,9.7
19820,199108,9.6
19820,199109,9.7
19820,199110,9.8
19820,199111,10.0
19820,199112,10.0
19820,199201,10.0
19820,199202,9.9
19820,199203,9.8
19820,199204,9.8
19820,199205,9.8
19820,199206,9.8
19820,199207,9.7
19820,199208,9.5
19820,199209,9.2
19820,199210,8.9
19820,199211,8.5
19820,199212,8.0
19820,199301,7.7
19820,199302,7.4
19820,199303,7.3
19820,199304,7.2
19820,199305,7.1
19820,199306,7.1
19820,199307,7.1
19820,199308,7.1
19820,199309,7.1
19820,199310,7.2
19820,199311,7.2
19820,199312,7.2
19820,199401,7.1
19820,199402,6.8
19820,199403,6.5
19820,199404,6.2
19820,199405,5.8
19820,199406,5.6
19820,199407,5.4
19820,199408,5.3
19820,199409,5.1
19820,199410,4.8
19820,199411,4.7
19820,199412,4.6
19820,199501,4.7
19820,199502,4.8
19820,199503,5.0
19820,199504,5.2
19820,199505,5.3
19820,199506,5.2
19820,199507,5.1
19820,199508,4.9
19820,199509,4.8
19820,199510,4.7
19820,199511,4.6
19820,199512,4.6
19820,199601,4.5
19820,199602,4.5
19820,199603,4.6
19820,199604,4.7
19820,199605,4.7
19820,199606,4.8
19820,199607,4.9
19820,199608,4.9
19820,199609,4.9
19820,199610,4.9
19820,199611,4.9
19820,199612,4.9
19820,199701,4.8
19820,199702,4.7
19820,199703,4.5
19820,199704,4.3
19820,199705,4.2
19820,199706,4.1
19820,199707,4.0
19820,199708,4.0
19820,199709,4.0
19820,199710,4.0
19820,199711,4.0
19820,199712,4.0
19820,199801,3.9
19820,199802,3.9
19820,199803,3.8
19820,199804,3.9
19820,199805,3.9
19820,199806,4.0
19820,199807,4.7
19820,199808,4.2
19820,199809,4.2
19820,199810,4.2
19820,199811,4.3
19820,199812,4.3
19820,199901,4.3
19820,199902,4.3
19820,199903,4.2
19820,199904,4.0
19820,199905,3.9
19820,199906,3.7
19820,199907,3.7
19820,199908,3.6
19820,199909,3.6
19820,199910,3.6
19820,199911,3.5
19820,199912,3.4
19820,200001,3.2
19820,200002,3.2
19820,200003,3.2
19820,200004,3.2
19820,200005,3.4
19820,200006,3.5
19820,200007,3.6
19820,200008,3.6
19820,200009,3.6
19820,200010,3.6
19820,200011,3.7
19820,200012,3.9
19820,200101,4.1
19820,200102,4.3
19820,200103,4.5
19820,200104,4.6
19820,200105,4.6
19820,200106,4.7
19820,200107,4.9
19820,200108,5.1
19820,200109,5.4
19820,200110,5.7
19820,200111,6.0
19820,200112,6.1
19820,200201,6.2
19820,200202,6.2
19820,200203,6.2
19820,200204,6.3
19820,200205,6.3
19820,200206,6.3
19820,200207,6.2
19820,200208,6.1
19820,200209,6.1
19820,200210,6.1
19820,200211,6.3
19820,200212,6.5
19820,200301,6.7
19820,200302,6.9
19820,200303,7.1
19820,200304,7.3
19820,200305,7.4
19820,200306,7.5
19820,200307,7.6
19820,200308,7.5
19820,200309,7.3
19820,200310,7.1
19820,200311,6.9
19820,200312,6.7
19820,200401,6.6
19820,200402,6.6
19820,200403,6.7
19820,200404,6.8
19820,200405,7.0
19820,200406,7.1
19820,200407,7.3
19820,200408,7.4
19820,200409,7.5
19820,200410,7.6
19820,200411,7.7
19820,200412,7.7
19820,200501,7.7
19820,200502,7.6
19820,200503,7.5
19820,200504,7.4
19820,200505,7.2
19820,200506,6.9
19820,200507,6.8
19820,200508,6.6
19820,200509,6.6
19820,200510,6.6
19820,200511,6.7
19820,200512,6.8
19820,200601,6.9
19820,200602,6.9
19820,200603,6.9
19820,200604,6.9
19820,200605,6.9
19820,200606,6.9
19820,200607,7.0
19820,200608,7.1
19820,200609,7.1
19820,200610,7.2
19820,200611,7.1
19820,200612,7.1
19820,200701,7.0
19820,200702,7.0
19820,200703,7.1
19820,200704,7.1
19820,200705,7.2
19820,200706,7.3
19820,200707,7.4
19820,200708,7.5
19820,200709,7.5
19820,200710,7.6
19820,200711,7.5
19820,200712,7.5
19820,200801,7.4
19820,200802,7.4
19820,200803,7.6
19820,200804,7.7
19820,200805,8.0
19820,200806,8.2
19820,200807,8.5
19820,200808,8.8
19820,200809,9.2
19820,200810,9.6
19820,200811,10.1
19820,200812,10.5
19820,200901,11.6
19820,200902,12.5
19820,200903,13.4
19820,200904,14.2
19820,200905,14.9
19820,200906,15.6
19820,200907,15.6
19820,200908,15.6
19820,200909,15.5
19820,200910,15.4
19820,200911,15.2
19820,200912,15.3
19820,201001,15.3
19820,201002,15.2
19820,201003,15.1
19820,201004,14.8
19820,201005,14.5
19820,201006,14.3
19820,201007,14.4
19820,201008,13.9
19820,201009,13.4
19820,201010,13.0
19820,201011,12.6
19820,201012,12.2
19820,201101,11.8
19820,201102,11.7
19820,201103,11.1
19820,201104,11.2
19820,201105,11.3
19820,201106,11.3
19820,201107,11.3
19820,201108,11.1
19820,201109,10.9
19820,201110,10.6
19820,201111,10.4
19820,201112,10.2
19820,201201,10.1
19820,201202,10.0
19820,201203,10.0
19820,201204,10.0
19820,201205,10.0
19820,201206,10.0
19820,201207,10.0
19820,201208,10.0
19820,201209,10.0
19820,201210,10.0
19820,201211,10.0
19820,201212,10.0
19820,201301,10.0
19820,201302,9.9
19820,201303,9.8
19820,201304,9.8
19820,201305,9.7
19820,201306,9.7
19820,201307,9.7
19820,201308,9.7
19820,201309,9.6
19820,201310,9.5
19820,201311,9.3
19820,201312,9.2
19820,201401,9.0
19820,201402,8.9
19820,201403,8.8
19820,201404,8.7
19820,201405,8.5
19820,201406,8.3
19820,201407,8.1
19820,201408,7.9
19820,201409,7.7
19820,201410,7.4
19820,201411,7.1
19820,201412,6.8
19820,201501,6.6
19820,201502,6.4
19820,201503,6.3
19820,201504,6.2
19820,201505,6.1
19820,201506,6.0
19820,201507,5.8
19820,201508,5.7
19820,201509,5.5
19820,201510,5.4
19820,201511,5.3
19820,201512,5.3
19820,201601,5.2
19820,201602,5.3
19820,201603,5.3
19820,201604,5.3
19820,201605,5.3
19820,201606,5.3
19820,201607,5.3
19820,201608,5.3
19820,201609,5.4
19820,201610,5.4
19820,201611,5.3
19820,201612,5.3
19820,201701,5.1
19820,201702,4.8
19820,201703,4.5
19820,201704,4.3
19820,201705,4.1
19820,201706,4.1
19820,201707,4.3
19820,201708,4.4
19820,201709,4.6
19820,201710,4.7
19820,201711,4.7
19820,201712,4.7
19820,201801,4.6
19820,201802,4.5
19820,201803,4.4
19820,201804,4.3
19820,201805,4.2
19820,201806,4.1
19820,201807,4.1
19820,201808,4.2
19820,201809,4.2
19820,201810,4.3
19820,201811,4.4
19820,201812,4.4
19820,201901,4.5
19820,201902,4.4
19820,201903,4.4
19820,201904,4.4
19820,201905,4.4
19820,201906,4.3
19820,201907,4.3
19820,201908,4.2
19820,201909,4.1
19820,201910,4.0
19820,201911,4.0
19820,201912,3.9
19820,202001,4.0
19820,202002,4.0
19820,202003,4.0
19820,202004,23.4
19820,202005,23.2
19820,202006,17.7
19820,202007,15.3
19820,202008,12.0
19820,202009,10.6
19820,202010,9.0
19820,202011,8.3
19820,202012,8.1
19820,202101,7.0
19820,202102,6.7
19820,202103,6.6
19820,202104,6.6
19820,202105,6.6
19820,202106,6.6
19820,202107,6.4
19820,202108,6.1
19820,202109,5.7
19820,202110,5.3
19820,202111,4.9
19820,202112,4.7
19820,202201,4.5
19820,202202,4.4
19820,202203,4.2
19820,202204,4.0
19820,202205,3.8
19820,202206,3.6
19820,202207,3.5
19820,202208,3.5
19820,202209,3.5
19820,202210,3.6
19820,202211,3.6
19820,202212,3.6
19820,202301,3.6
19820,202302,3.4
19820,202303,3.3
19820,202304,3.3
19820,202305,3.3
19820,202306,3.4
19820,202307,3.6
19820,202308,3.7
19820,202309,3.8
19820,202310,3.9
19820,202311,3.8
19820,202312,3.8
19820,202401,3.8
19820,202402,3.8
19820,202403,4.0
19820,202404,4.1
19820,202405,4.3
19820,202406,4.5
19820,202407,4.6
19820,202408,4.8
19820,202409,4.9
19820,202410,5.0
