State,YearMonth,UnemploymentRate
AL,197601,7.5
AL,197602,7.7
AL,197603,6.3
AL,197604,5.7
AL,197605,5.2
AL,197606,7.3
AL,197607,7.2
AL,197608,7.2
AL,197609,6.7
AL,197610,6.5
AL,197611,6.7
AL,197612,6.6
AL,197613,6.7
AL,197701,7.6
AL,197702,8.1
AL,197703,7.3
AL,197704,6.7
AL,197705,6.5
AL,197706,8.4
AL,197707,7.7
AL,197708,7.6
AL,197709,6.8
AL,197710,6.4
AL,197711,6.4
AL,197712,6.0
AL,197713,7.1
AL,197801,7.0
AL,197802,7.0
AL,197803,6.1
AL,197804,5.6
AL,197805,5.4
AL,197806,7.0
AL,197807,6.7
AL,197808,6.8
AL,197809,6.6
AL,197810,6.3
AL,197811,6.6
AL,197812,6.7
AL,197813,6.5
AL,197901,7.0
AL,197902,7.5
AL,197903,6.8
AL,197904,6.5
AL,197905,6.4
AL,197906,8.0
AL,197907,7.3
AL,197908,7.9
AL,197909,7.3
AL,197910,7.4
AL,197911,7.2
AL,197912,7.2
AL,197913,7.2
AL,198001,8.1
AL,198002,8.2
AL,198003,7.7
AL,198004,7.7
AL,198005,8.0
AL,198006,9.3
AL,198007,9.2
AL,198008,9.4
AL,198009,8.9
AL,198010,9.1
AL,198011,9.2
AL,198012,9.1
AL,198013,8.7
AL,198101,10.4
AL,198102,10.6
AL,198103,9.7
AL,198104,9.4
AL,198105,9.7
AL,198106,11.1
AL,198107,10.7
AL,198108,11.1
AL,198109,11.2
AL,198110,11.6
AL,198111,11.9
AL,198112,12.2
AL,198113,10.8
AL,198201,13.1
AL,198202,13.6
AL,198203,12.9
AL,198204,12.8
AL,198205,12.8
AL,198206,14.3
AL,198207,14.3
AL,198208,14.4
AL,198209,14.1
AL,198210,14.2
AL,198211,14.5
AL,198212,14.5
AL,198213,13.8
AL,198301,15.3
AL,198302,15.4
AL,198303,14.4
AL,198304,13.7
AL,198305,13.5
AL,198306,14.7
AL,198307,13.7
AL,198308,14.1
AL,198309,13.5
AL,198310,13.0
AL,198311,12.5
AL,198312,12.3
AL,198313,13.8
AL,198401,13.0
AL,198402,13.0
AL,198403,12.0
AL,198404,11.5
AL,198405,10.8
AL,198406,11.7
AL,198407,11.7
AL,198408,11.6
AL,198409,10.9
AL,198410,10.6
AL,198411,10.1
AL,198412,10.0
AL,198413,11.4
AL,198501,10.9
AL,198502,10.6
AL,198503,9.8
AL,198504,9.2
AL,198505,9.0
AL,198506,10.1
AL,198507,9.6
AL,198508,9.4
AL,198509,9.2
AL,198510,9.1
AL,198511,9.0
AL,198512,9.1
AL,198513,9.6
AL,198601,9.6
AL,198602,10.3
AL,198603,9.7
AL,198604,9.2
AL,198605,9.2
AL,198606,10.2
AL,198607,9.6
AL,198608,9.6
AL,198609,9.5
AL,198610,9.4
AL,198611,9.3
AL,198612,8.8
AL,198613,9.5
AL,198701,9.7
AL,198702,9.7
AL,198703,8.7
AL,198704,8.0
AL,198705,7.9
AL,198706,8.5
AL,198707,8.1
AL,198708,8.0
AL,198709,7.7
AL,198710,7.6
AL,198711,7.5
AL,198712,7.2
AL,198713,8.2
AL,198801,7.9
AL,198802,8.0
AL,198803,7.2
AL,198804,6.7
AL,198805,6.8
AL,198806,7.6
AL,198807,7.4
AL,198808,7.5
AL,198809,7.2
AL,198810,7.0
AL,198811,7.2
AL,198812,7.0
AL,198813,7.3
AL,198901,7.9
AL,198902,7.5
AL,198903,6.8
AL,198904,6.7
AL,198905,6.6
AL,198906,7.7
AL,198907,7.2
AL,198908,7.1
AL,198909,6.8
AL,198910,6.6
AL,198911,6.6
AL,198912,6.4
AL,198913,7.0
AL,199001,7.1
AL,199002,7.3
AL,199003,6.6
AL,199004,6.4
AL,199005,6.3
AL,199006,7.0
AL,199007,6.9
AL,199008,7.2
AL,199009,7.0
AL,199010,6.8
AL,199011,6.7
AL,199012,6.8
AL,199013,6.8
AL,199101,7.4
AL,199102,7.7
AL,199103,7.2
AL,199104,6.6
AL,199105,6.9
AL,199106,7.9
AL,199107,7.5
AL,199108,7.6
AL,199109,7.2
AL,199110,7.0
AL,199111,7.1
AL,199112,7.1
AL,199113,7.3
AL,199201,8.0
AL,199202,8.2
AL,199203,7.5
AL,199204,7.0
AL,199205,7.1
AL,199206,8.2
AL,199207,7.9
AL,199208,7.7
AL,199209,7.3
AL,199210,7.0
AL,199211,7.2
AL,199212,7.2
AL,199213,7.5
AL,199301,8.1
AL,199302,8.2
AL,199303,7.4
AL,199304,7.0
AL,199305,6.9
AL,199306,7.9
AL,199307,7.6
AL,199308,7.3
AL,199309,6.9
AL,199310,6.8
AL,199311,6.5
AL,199312,6.3
AL,199313,7.2
AL,199401,7.3
AL,199402,7.1
AL,199403,6.4
AL,199404,5.9
AL,199405,5.6
AL,199406,6.6
AL,199407,6.4
AL,199408,6.3
AL,199409,5.9
AL,199410,5.7
AL,199411,5.6
AL,199412,5.4
AL,199413,6.2
AL,199501,6.6
AL,199502,6.3
AL,199503,5.8
AL,199504,5.7
AL,199505,5.6
AL,199506,6.4
AL,199507,6.1
AL,199508,6.1
AL,199509,5.8
AL,199510,5.5
AL,199511,5.3
AL,199512,5.2
AL,199513,5.9
AL,199601,5.7
AL,199602,5.8
AL,199603,5.3
AL,199604,4.9
AL,199605,5.0
AL,199606,5.5
AL,199607,5.4
AL,199608,5.1
AL,199609,5.0
AL,199610,4.9
AL,199611,4.9
AL,199612,4.7
AL,199613,5.2
AL,199701,5.6
AL,199702,5.5
AL,199703,5.1
AL,199704,4.6
AL,199705,4.6
AL,199706,5.5
AL,199707,5.2
AL,199708,5.3
AL,199709,4.9
AL,199710,4.6
AL,199711,4.3
AL,199712,4.3
AL,199713,5.0
AL,199801,4.9
AL,199802,4.8
AL,199803,4.4
AL,199804,3.8
AL,199805,3.9
AL,199806,4.9
AL,199807,4.8
AL,199808,4.7
AL,199809,4.5
AL,199810,4.5
AL,199811,4.3
AL,199812,4.1
AL,199813,4.5
AL,199901,4.9
AL,199902,5.1
AL,199903,4.5
AL,199904,4.4
AL,199905,4.3
AL,199906,5.1
AL,199907,5.0
AL,199908,5.0
AL,199909,4.8
AL,199910,4.6
AL,199911,4.5
AL,199912,4.4
AL,199913,4.7
AL,200001,5.1
AL,200002,5.1
AL,200003,4.7
AL,200004,4.1
AL,200005,4.3
AL,200006,4.9
AL,200007,4.9
AL,200008,5.0
AL,200009,4.5
AL,200010,4.5
AL,200011,4.4
AL,200012,4.3
AL,200013,4.7
AL,200101,5.2
AL,200102,5.0
AL,200103,4.8
AL,200104,4.5
AL,200105,4.3
AL,200106,5.3
AL,200107,5.1
AL,200108,5.6
AL,200109,5.3
AL,200110,5.5
AL,200111,5.6
AL,200112,5.6
AL,200113,5.1
AL,200201,6.3
AL,200202,6.2
AL,200203,5.9
AL,200204,5.4
AL,200205,5.3
AL,200206,6.3
AL,200207,6.2
AL,200208,6.2
AL,200209,5.7
AL,200210,5.7
AL,200211,5.8
AL,200212,5.7
AL,200213,5.9
AL,200301,6.3
AL,200302,6.2
AL,200303,5.8
AL,200304,5.4
AL,200305,5.5
AL,200306,6.6
AL,200307,6.1
AL,200308,6.2
AL,200309,5.9
AL,200310,5.8
AL,200311,5.9
AL,200312,5.6
AL,200313,5.9
AL,200401,6.4
AL,200402,6.1
AL,200403,5.9
AL,200404,5.3
AL,200405,5.3
AL,200406,6.0
AL,200407,5.8
AL,200408,5.7
AL,200409,5.3
AL,200410,5.2
AL,200411,5.1
AL,200412,4.9
AL,200413,5.6
AL,200501,5.4
AL,200502,5.4
AL,200503,4.6
AL,200504,4.1
AL,200505,4.0
AL,200506,4.8
AL,200507,4.5
AL,200508,4.3
AL,200509,4.2
AL,200510,4.1
AL,200511,4.0
AL,200512,3.9
AL,200513,4.5
AL,200601,4.6
AL,200602,4.5
AL,200603,4.1
AL,200604,3.7
AL,200605,3.6
AL,200606,4.4
AL,200607,4.4
AL,200608,4.2
AL,200609,3.8
AL,200610,3.6
AL,200611,3.7
AL,200612,3.6
AL,200613,4.0
AL,200701,4.3
AL,200702,4.2
AL,200703,3.8
AL,200704,3.4
AL,200705,3.5
AL,200706,4.4
AL,200707,4.4
AL,200708,4.3
AL,200709,4.1
AL,200710,3.9
AL,200711,4.1
AL,200712,4.4
AL,200713,4.1
AL,200801,5.1
AL,200802,5.0
AL,200803,4.9
AL,200804,4.4
AL,200805,5.1
AL,200806,6.1
AL,200807,6.3
AL,200808,6.5
AL,200809,6.4
AL,200810,6.7
AL,200811,6.9
AL,200812,7.4
AL,200813,5.9
AL,200901,8.5
AL,200902,9.0
AL,200903,8.8
AL,200904,8.4
AL,200905,8.9
AL,200906,10.0
AL,200907,10.3
AL,200908,10.5
AL,200909,10.6
AL,200910,10.7
AL,200911,10.5
AL,200912,10.7
AL,200913,9.7
AL,201001,11.6
AL,201002,11.3
AL,201003,10.9
AL,201004,10.1
AL,201005,9.9
AL,201006,10.4
AL,201007,10.3
AL,201008,10.3
AL,201009,10.0
AL,201010,9.9
AL,201011,10.1
AL,201012,9.9
AL,201013,10.4
AL,201101,10.5
AL,201102,10.3
AL,201103,9.8
AL,201104,9.3
AL,201105,9.3
AL,201106,10.3
AL,201107,10.0
AL,201108,9.7
AL,201109,9.5
AL,201110,9.0
AL,201111,8.5
AL,201112,8.4
AL,201113,9.6
AL,201201,9.0
AL,201202,8.8
AL,201203,8.4
AL,201204,7.7
AL,201205,7.9
AL,201206,8.8
AL,201207,8.7
AL,201208,8.4
AL,201209,7.8
AL,201210,7.6
AL,201211,7.3
AL,201212,7.5
AL,201213,8.2
AL,201301,8.3
AL,201302,8.0
AL,201303,7.3
AL,201304,6.7
AL,201305,6.9
AL,201306,7.8
AL,201307,7.6
AL,201308,7.5
AL,201309,7.2
AL,201310,7.2
AL,201311,6.9
AL,201312,6.8
AL,201313,7.4
AL,201401,7.5
AL,201402,7.5
AL,201403,7.2
AL,201404,6.3
AL,201405,6.5
AL,201406,7.1
AL,201407,7.3
AL,201408,7.1
AL,201409,6.5
AL,201410,6.2
AL,201411,6.1
AL,201412,5.9
AL,201413,6.8
AL,201501,6.7
AL,201502,6.4
AL,201503,6.0
AL,201504,5.6
AL,201505,5.9
AL,201506,6.4
AL,201507,6.5
AL,201508,6.2
AL,201509,5.9
AL,201510,5.9
AL,201511,5.8
AL,201512,5.8
AL,201513,6.1
AL,201601,6.3
AL,201602,6.2
AL,201603,5.9
AL,201604,5.4
AL,201605,5.3
AL,201606,6.1
AL,201607,6.0
AL,201608,5.9
AL,201609,5.9
AL,201610,5.7
AL,201611,5.3
AL,201612,5.4
AL,201613,5.8
AL,201701,6.0
AL,201702,5.6
AL,201703,4.9
AL,201704,4.3
AL,201705,4.2
AL,201706,4.8
AL,201707,4.7
AL,201708,4.5
AL,201709,4.0
AL,201710,3.8
AL,201711,3.8
AL,201712,3.7
AL,201713,4.5
AL,201801,4.4
AL,201802,4.3
AL,201803,4.0
AL,201804,3.5
AL,201805,3.5
AL,201806,4.5
AL,201807,4.2
AL,201808,4.1
AL,201809,3.7
AL,201810,3.7
AL,201811,3.4
AL,201812,3.6
AL,201813,3.9
AL,201901,4.3
AL,201902,3.8
AL,201903,3.5
AL,201904,2.8
AL,201905,2.7
AL,201906,3.4
AL,201907,3.3
AL,201908,3.3
AL,201909,2.8
AL,201910,2.8
AL,201911,2.8
AL,201912,2.9
AL,201913,3.2
AL,202001,3.6
AL,202002,3.4
AL,202003,3.7
AL,202004,13.1
AL,202005,10.2
AL,202006,8.9
AL,202007,8.0
AL,202008,6.4
AL,202009,6.0
AL,202010,4.9
AL,202011,4.6
AL,202012,4.3
AL,202013,6.4
AL,202101,4.5
AL,202102,4.1
AL,202103,3.7
AL,202104,3.3
AL,202105,3.1
AL,202106,4.0
AL,202107,3.7
AL,202108,3.5
AL,202109,2.9
AL,202110,2.7
AL,202111,2.4
AL,202112,2.3
AL,202113,3.3
AL,202201,3.1
AL,202202,2.9
AL,202203,2.4
AL,202204,2.0
AL,202205,2.2
AL,202206,3.0
AL,202207,2.9
AL,202208,2.9
AL,202209,2.4
AL,202210,2.4
AL,202211,2.2
AL,202212,2.0
AL,202213,2.5
AL,202301,2.6
AL,202302,2.5
AL,202303,2.2
AL,202304,1.8
AL,202305,2.0
AL,202306,2.7
AL,202307,2.6
AL,202308,2.8
AL,202309,2.6
AL,202310,2.6
AL,202311,2.5
AL,202312,2.6
AL,202313,2.5
AL,202401,3.2
AL,202402,3.2
AL,202403,2.8
AL,202404,2.4
AL,202405,2.4
AL,202406,3.3
AL,202407,3.4
AL,202408,3.5
AL,202409,3.1
AL,202410,3.2
AL,202411,3.3
AL,202412,3.2
AL,202413,3.1
AL,202501,3.4
AL,202502,3.4
AL,202503,3.4
AK,197601,9.3
AK,197602,9.7
AK,197603,8.7
AK,197604,7.6
AK,197605,6.4
AK,197606,7.3
AK,197607,5.9
AK,197608,5.3
AK,197609,6.6
AK,197610,7.0
AK,197611,9.2
AK,197612,9.4
AK,197613,7.7
AK,197701,10.4
AK,197702,11.4
AK,197703,11.2
AK,197704,10.4
AK,197705,9.5
AK,197706,10.1
AK,197707,8.3
AK,197708,7.7
AK,197709,8.3
AK,197710,9.2
AK,197711,10.6
AK,197712,10.3
AK,197713,9.8
AK,197801,12.8
AK,197802,12.9
AK,197803,12.9
AK,197804,11.6
AK,197805,10.7
AK,197806,10.7
AK,197807,9.1
AK,197808,8.4
AK,197809,9.3
AK,197810,9.1
AK,197811,10.3
AK,197812,10.3
AK,197813,10.7
AK,197901,10.8
AK,197902,11.3
AK,197903,10.7
AK,197904,9.6
AK,197905,8.9
AK,197906,8.8
AK,197907,7.7
AK,197908,6.7
AK,197909,7.8
AK,197910,8.3
AK,197911,9.3
AK,197912,9.1
AK,197913,9.1
AK,198001,9.8
AK,198002,10.5
AK,198003,10.1
AK,198004,10.9
AK,198005,9.7
AK,198006,10.1
AK,198007,8.6
AK,198008,8.1
AK,198009,8.2
AK,198010,8.9
AK,198011,9.6
AK,198012,9.4
AK,198013,9.5
AK,198101,10.8
AK,198102,10.7
AK,198103,10.2
AK,198104,8.9
AK,198105,8.8
AK,198106,9.3
AK,198107,7.9
AK,198108,7.6
AK,198109,8.1
AK,198110,8.9
AK,198111,9.6
